"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"
"2:35:00::"	"person"	"deep"	"∅"	"into"	"∅_person"	"person_deep"	"deep_into"	"∅_∅_person"	"∅_person_deep"	"person_deep_into"	"deep_into_the"	"ε"	"ε"	"NNP"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"single"	"deep"	"into"	"the"	"hole"	"at"	"short"	"to"	"start"	"the"	"rally"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"a"	","	"for"	"and"	"for_a"	"a_,"	",_and"	"out_for_a"	"for_a_,"	"a_,_and"	",_and_when"	"IN"	"IN"	"DT"	"NN"	"ε"	"CC"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"bounce"	"a"	"hard"	"shot"	"off"	"person"	"and"	"beat"	"it"	"out"	"for"	"a"	"single"	"and"	"when"	"person"	"grab"	"the"	"ball"	"and"	"throw"	"it"	"over"	"first_baseman"	"person"	"head"	"person"	"took"	"third"	"and"	"person"	"second"	"on"	"the"	"error"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"person"	"on"	"∅"	"a"	"∅_person"	"person_on"	"on_a"	"∅_∅_person"	"∅_person_on"	"person_on_a"	"on_a_slow"	"ε"	"ε"	"NNP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"single"	"on"	"a"	"slow"	"bounce"	"ball"	"to"	"short"	"which"	"person"	"cut_across"	"to"	"field"	"and"	"throw"	"wide"	"to"	"first"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"test"	"and"	"sunday"	"and_a"	"a_test"	"test_sunday"	"night_game_and_a"	"and_a_test"	"a_test_sunday"	"test_sunday_afternoon"	"NN"	"CC"	"DT"	"JJ"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"group"	"are"	"to"	"break"	"their"	"losing_streak"	"within"	"the"	"next"	"two"	"day"	"it"	"will"	"have"	"to"	"at_the_expense_of"	"the"	"group"	"champion"	"new_york"	"group"	"who"	"come"	"in"	"here"	"tomorrow"	"for"	"a"	"night_game"	"and"	"a"	"single"	"test"	"sunday"	"afternoon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"one"	"moral"	"into"	"community"	"into_one"	"one_moral"	"moral_community"	"]_into_one"	"into_one_moral"	"one_moral_community"	"moral_community_-"	"ε"	"IN"	"JJ"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"note"	"long_ago"	"that"	"religion"	"as"	"a"	"unified"	"system"	"of"	"belief"	"and"	"relative"	"to"	"sacred"	"thing"	"unite"	"s"	"into"	"one"	"single"	"moral"	"community"	"all"	"those"	"who"	"adhere"	"to"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"exercise"	"be"	","	"be_a"	"a_exercise"	"exercise_,"	"person_be_a"	"be_a_exercise"	"a_exercise_,"	"exercise_,_done"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"last"	"exercise"	"of"	"person"	"program"	"for"	"person"	"be"	"a"	"single"	"exercise"	"done"	"in"	"individual"	"set"	"with"	"a_bit"	"long"	"pause"	"between"	"set"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"image"	"in"	","	"in_a"	"a_image"	"image_,"	"encipher_in_a"	"in_a_image"	"a_image_,"	"image_,_a"	"VB"	"IN"	"DT"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"work"	"of"	"every"	"artist"	"i"	"suppose"	"there"	"may"	"be"	"find"	"one"	"or"	"more"	"moment"	"which"	"strike"	"the"	"student"	"as"	"absolutely"	"decisive"	"ultimately"	"emblematic"	"of"	"what"	"it"	"be"	"all"	"about"	"not"	"less"	"strikingly"	"so"	"for"	"be"	"mysterious"	"as"	"though"	"some"	"deeply"	"hidden"	"constatation"	"of"	"thought"	"encipher"	"in"	"a"	"single"	"image"	"a"	"single"	"moment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"moment"	","	"."	",_a"	"a_moment"	"moment_."	"image_,_a"	",_a_moment"	"a_moment_."	"moment_._∅"	"NN"	"ε"	"DT"	"JJ"	"NN"	"ε"	"ε"	"work"	"of"	"every"	"artist"	"i"	"suppose"	"there"	"may"	"be"	"find"	"one"	"or"	"more"	"moment"	"which"	"strike"	"the"	"student"	"as"	"absolutely"	"decisive"	"ultimately"	"emblematic"	"of"	"what"	"it"	"be"	"all"	"about"	"not"	"less"	"strikingly"	"so"	"for"	"be"	"mysterious"	"as"	"though"	"some"	"deeply"	"hidden"	"constatation"	"of"	"thought"	"were"	"encipher"	"in"	"single"	"image"	"a"	"single"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"small"	"switchboard"	"a"	"was"	"a_small"	"small_switchboard"	"switchboard_was"	"∅_a_small"	"a_small_switchboard"	"small_switchboard_was"	"switchboard_was_install"	"ε"	"DT"	"JJ"	"JJ"	"NN"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"small"	"single"	"switchboard"	"was"	"install"	"in"	"the"	"location"	"over"	"person"	"hardware_store"	"later"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"use"	"gradient"	"deae_cellulose"	"similar"	"deae_cellulose_use"	"use_gradient"	"gradient_similar"	"on_deae_cellulose_use"	"deae_cellulose_use_gradient"	"use_gradient_similar"	"gradient_similar_to"	"IN"	"NN"	"VB"	"JJ"	"NN"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"present"	"work"	"whole"	"serum"	"been"	"fractionate"	"by"	"chromatography"	"on"	"deae_cellulose"	"use"	"single"	"gradient"	"similar"	"to"	"those"	"describe"	"by"	"person"	"and"	"person"	"and"	"certain"	"chemical"	"and"	"serological"	"property"	"of"	"the"	"fraction"	"contain"	"antibody"	"of"	"the"	"abo"	"and"	"rh"	"system"	"have"	"been"	"describe"	
