"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"1:09:00::"	"develop"	"to"	"is"	"utilize"	"is_develop"	"develop_to"	"to_utilize"	",_is_develop"	"is_develop_to"	"develop_to_utilize"	"to_utilize_specially"	"ε"	"VBZ"	"VB"	"NN"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"washington"	"dc"	"develop"	"plan"	"to"	"utilize"	"specially"	"treated"	"lumber"	"for"	"underground"	"shelter"	"construction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"carefully"	"should"	"."	"should_be"	"be_carefully"	"carefully_."	"and_should_be"	"should_be_carefully"	"be_carefully_."	"carefully_._∅"	"CC"	"MD"	"VB"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"water"	"rationing"	"will"	"difficult"	"and"	"should"	"be"	"plan"	"carefully"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"the"	"primarily"	"use"	"primarily_to"	"to_the"	"the_use"	"be_primarily_to"	"primarily_to_the"	"to_the_use"	"the_use_of"	"VB"	"RB"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"problem"	"for"	"the"	"apartment"	"dweller"	"be"	"primarily"	"to"	"plan"	"the"	"use"	"of"	"existing"	"space"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"marketing"	"review"	"annual"	"throughout"	"annual_marketing"	"marketing_review"	"review_throughout"	"are_annual_marketing"	"annual_marketing_review"	"marketing_review_throughout"	"review_throughout_your"	"VBP"	"JJ"	"NN"	"NN"	"VB"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"marketing"	"plan"	"review"	"throughout"	"your"	"management"	"group"	"to"	"get"	"the"	"perspective"	"of"	"all"	"individual"	"and"	"get"	"everyone"	"on"	"the"	"marketing"	"team"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"a"	"to"	"conceive"	"settle"	"conceive_a"	"a_to"	"to_settle"	",_conceive_a"	"conceive_a_to"	"a_to_settle"	"to_settle_them"	"ε"	"VB"	"DT"	"NN"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"person"	"fifth"	"earl"	"of"	"location"	"a"	"noble"	"humanitarian"	"scot"	"concerned"	"with"	"the"	"plight"	"of"	"the"	"crofter"	"of"	"native"	"location"	"conceive"	"plan"	"to"	"settle"	"them"	"in"	"the"	"valley"	"of"	"the"	"red_river"	"of"	"the"	"north"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"you"	"to"	"do"	"limit"	"do_you"	"you_to"	"to_limit"	"∅_do_you"	"do_you_to"	"you_to_limit"	"to_limit_additional"	"ε"	"VBP"	"PRP"	"VB"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"plan"	"to"	"limit"	"additional"	"holiday"	"to"	"area"	"and"	"or"	"industrial"	"pattern"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"pension"	"."	"contributory"	"∅"	"contributory_pension"	"pension_."	"._∅"	"non_contributory_pension"	"contributory_pension_."	"pension_._∅"	"._∅_∅"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"choose"	"carefully"	"between"	"or"	"non"	"contributory"	"pension"	"plan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"sound"	"propose"	"of"	"."	"of_sound"	"sound_propose"	"propose_."	"number_of_sound"	"of_sound_propose"	"sound_propose_."	"propose_._∅"	"NN"	"JJ"	"JJ"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"have"	"been"	"number"	"of"	"sound"	"plan"	"propose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"the"	"be"	"of"	"well"	"of_the"	"the_be"	"be_well"	"study_of_the"	"of_the_be"	"the_be_well"	"be_well_underway"	"NN"	"IN"	"DT"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"detailed"	"of"	"the"	"plan"	"be"	"well"	"underway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"early"	"."	"from"	"∅"	"from_early"	"early_."	"._∅"	"reduce_from_early"	"from_early_."	"early_._∅"	"._∅_∅"	"VB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"size"	"and"	"scope"	"of"	"program"	"have"	"been"	"reduce"	"from"	"early"	"plan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"had"	"to"	"he"	"do"	"he_had"	"had_to"	"to_do"	"thing_he_had"	"he_had_to"	"had_to_do"	"to_do_after"	"NN"	"PRP"	"VBD"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"then_again"	"perhaps"	"reason"	"why"	"he"	"could"	"n't"	"find"	"time"	"do"	"any"	"of"	"the"	"thing"	"he"	"had"	"plan"	"to"	"do"	"after"	"retirement"	"read"	"roam"	"garden"	"lie"	"on"	"his"	"back"	"and"	"watch"	"the"	"cloud"	"go_by"	"be"	"because"	"he"	"did"	"n't"	"want"	"to"	"do"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"without"	","	"breathe"	"without"	"breathe_without"	"without_,"	",_without"	",_breathe_without"	"breathe_without_,"	"without_,_without"	",_without_reason"	"ε"	"VB"	"IN"	"NN"	"ε"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fifty-five"	"year"	"he"	"had"	"live"	"progress"	"towards"	"a"	"eat"	"work"	"breathe"	"without"	"plan"	"without"	"reason"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"formed"	"to"	"a"	"murder"	"a_formed"	"formed_to"	"to_murder"	"with_a_formed"	"a_formed_to"	"formed_to_murder"	"to_murder_her"	"IN"	"DT"	"JJ"	"NN"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"not"	"very"	"reasonable"	"to"	"believe"	"that"	"person"	"had"	"procure"	"unprocurable"	"opium"	"come_back"	"to"	"location"	"with"	"a"	"formed"	"plan"	"to"	"murder"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"detailed"	"by"	"of"	"both"	"of_detailed"	"detailed_by"	"by_both"	"submission_of_detailed"	"of_detailed_by"	"detailed_by_both"	"by_both_side"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"counsel"	"for"	"group"	"indicate"	"a"	"for"	"the"	"submission"	"of"	"detailed"	"plan"	"by"	"both"	"side"	"at"	"an"	"early"	"date"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"'s"	"."	"government"	"∅"	"government_'s"	"'s_."	"._∅"	"the_government_'s"	"government_'s_."	"'s_._∅"	"._∅_∅"	"DT"	"NN"	"POS"	"NN"	"ε"	"ε"	"ε"	"of"	"the"	"amicus_curiae"	"the"	"court"	"direct"	"that"	"a"	"ruling"	"be"	"obtain"	"from"	"the"	"person"	"as"	"to"	"the"	"federal"	"income_tax"	"consequence"	"of"	"the"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"'s"	"."	"person"	"∅"	"person_'s"	"'s_."	"._∅"	"of_person_'s"	"person_'s_."	"'s_._∅"	"._∅_∅"	"IN"	"NNP"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"do"	"n't"	"know"	"person"	"he"	"say"	"haltingly"	"begin"	"to"	"get"	"an"	"of"	"person"	"plan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"five"	"to"	"of"	"go"	"of_five"	"five_to"	"to_go"	"family_of_five"	"of_five_to"	"five_to_go"	"to_go_together"	"NN"	"IN"	"JJ"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"of"	"five"	"plan"	"to"	"go"	"together"	"either"	"to"	"the"	"beach"	"or"	"to"	"the"	"mountain"	"and"	"a"	"coin"	"is"	"toss"	"to"	"decide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"a"	"to"	"suggest"	"fill"	"suggest_a"	"a_to"	"to_fill"	",_suggest_a"	"suggest_a_to"	"a_to_fill"	"to_fill_by"	"ε"	"VB"	"DT"	"NN"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"location"	"former"	"chairman"	"the"	"group"	"suggest"	"a"	"plan"	"to"	"fill"	"by"	"appointment"	"future"	"vacancy"	"in"	"the"	"group"	"and"	"group"	"eliminate"	"the"	"need"	"for"	"costly"	"special"	"election"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"'s"	","	"person"	"an"	"person_'s"	"'s_,"	",_an"	"under_person_'s"	"person_'s_,"	"'s_,_an"	",_an_appointee"	"IN"	"NNP"	"POS"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"under"	"plan"	"an"	"appointee"	"would"	"be"	"select"	"by"	"a"	"board"	"compose"	"of"	"the"	"governor"	"lieutenant_governor"	"speaker"	"of"	"the"	"house"	"attorney_general"	"and"	"chief_justice"	"of"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"you"	"to"	"do"	"conduct"	"do_you"	"you_to"	"to_conduct"	"where_do_you"	"do_you_to"	"you_to_conduct"	"to_conduct_the"	"WRB"	"VBP"	"PRP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"tell"	"me"	"doctor"	"do"	"you"	"plan"	"to"	"conduct"	"the"	"hatching"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"pension"	"for"	"''"	"city"	"''_pension"	"pension_for"	"for_city"	"equitable_''_pension"	"''_pension_for"	"pension_for_city"	"for_city_employee"	"JJ"	"ε"	"NN"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"location"	"legislator"	"work"	"with"	"city"	"official"	"to"	"pass"	"enabling_legislation"	"that"	"permit"	"the"	"establishment"	"of"	"a"	"and"	"equitable"	"pension"	"plan"	"for"	"city"	"employee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"a"	"there"	"be"	"to"	"be_a"	"a_there"	"there_to"	"also_be_a"	"be_a_there"	"a_there_to"	"there_to_issue"	"RB"	"VB"	"DT"	"NN"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"group"	"source"	"there"	"also"	"be"	"a"	"plan"	"there"	"to"	"issue"	"some"	"million"	"to"	"million"	"worth"	"of"	"group"	"bond"	"for"	"rural"	"road"	"construction"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"to"	"about"	"issue"	"about_the"	"the_to"	"to_issue"	"yet_about_the"	"about_the_to"	"the_to_issue"	"to_issue_the"	"RB"	"IN"	"DT"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"source"	"tell"	"the_constitution"	"however"	"that"	"person"	"not"	"been"	"consult"	"yet"	"about"	"the"	"plan"	"to"	"issue"	"the"	"new"	"rural"	"road"	"bond"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"have"	"a"	"you"	"noisy"	"you_have"	"have_a"	"a_noisy"	"entrance_you_have"	"you_have_a"	"have_a_noisy"	"a_noisy_,"	"NN"	"PRP"	"VBP"	"VB"	"DT"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"have"	"your"	"paper"	"horn"	"clutch"	"in"	"your"	"big"	"craggy"	"fist"	"for"	"your"	"entrance"	"you"	"have"	"plan"	"a"	"noisy"	"colorful"	"and"	"exuberant"	"greeting"	"to"	"your"	"friend"	"and"	"tenant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"should"	"the"	"interior_designer"	"interior"	"interior_designer_should"	"should_the"	"the_interior"	"or_interior_designer_should"	"interior_designer_should_the"	"should_the_interior"	"the_interior_of"	"CC"	"NN"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"controversy"	"of"	"the"	"last"	"few"	"over"	"whether"	"architect"	"or"	"interior_designer"	"should"	"plan"	"the"	"interior"	"of"	"modern"	"building"	"has"	"bring"	"clearly"	"into"	"focus"	"one"	"important"	"difference_of_opinion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"this"	";"	"hinder"	"time"	"hinder_this"	"this_;"	";_time"	"nor_hinder_this"	"hinder_this_;"	"this_;_time"	";_time_be"	"CC"	"VB"	"DT"	"NN"	"ε"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"old_ones"	"neither"	"nor"	"hinder"	"this"	"plan"	"time"	"be"	"not_yet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"group"	"for"	"of"	"a"	"of_group"	"group_for"	"for_a"	"in_the_middle_of_group"	"of_group_for"	"group_for_a"	"for_a_drive"	"RB"	"IN"	"NNP"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"five"	"frame"	"person"	"the"	"big"	"right-hander"	"figure"	"to"	"be"	"in_the_middle"	"of"	"group"	"plan"	"for"	"a"	"drive"	"on"	"the"	"group"	"pennant"	"hold"	"the"	"a"	"scoreless"	"while"	"yield"	"three"	"scattered"	"hit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	","	"to"	"helm"	"bring"	"helm_,"	",_to"	"to_bring"	"group_helm_,"	"helm_,_to"	",_to_bring"	"to_bring_the"	"NNP"	"NN"	"ε"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"successor"	"to"	"person"	"the"	"group"	"helm"	"plan"	"to"	"bring"	"the"	"entire"	"new_york"	"squad"	"here"	"from"	"st._petersburg"	"include"	"person"	"and"	"large"	"crowd"	"are"	"anticipate"	"for"	"both"	"weekend"	"game"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"following"	"?"	"the"	"∅"	"the_following"	"following_?"	"?_∅"	"to_the_following"	"the_following_?"	"following_?_∅"	"?_∅_∅"	"TO"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"any"	"to"	"the"	"following"	"plan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
