"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"
"2:41:00::"	"agreement"	"between"	"labor-management"	"the"	"labor-management_agreement"	"agreement_between"	"between_the"	"a_labor-management_agreement"	"labor-management_agreement_between"	"agreement_between_the"	"between_the_southern_pacific_co."	"DT"	"JJ"	"NN"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"recent"	"editorial"	"a"	"labor-management"	"agreement"	"reach"	"between"	"the"	"southern_pacific_co."	"and"	"the"	"order"	"of"	"railroad"	"telegraphers"	"has"	"been"	"criticize"	"on"	"the"	"grounds"	"that"	"it"	"was"	"not"	"base"	"on"	"complete"	"information"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"∅"	"agreement"	"∅"	"on"	"∅_∅"	"∅_agreement"	"agreement_on"	"∅_∅_∅"	"∅_∅_agreement"	"∅_agreement_on"	"agreement_on_projects"	"ε"	"ε"	"ε"	"VB"	"NN"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"agreement"	"on"	"projects"	"of"	"value"	"to"	"the"	"whole"	"community"	"has"	"long"	"be"	"one"	"of"	"greater_miami"	"hardest"	"tasks"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:06::"	"was"	"after"	"agreement"	"three"	"agreement_was"	"was_after"	"after_three"	"no_agreement_was"	"agreement_was_after"	"was_after_three"	"after_three_days"	"DT"	"NN"	"VBD"	"VB"	"IN"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"princess"	"say"	"it"	"was"	"too"	"early"	"to"	"what"	"would"	"be"	"decide"	"if"	"no"	"agreement"	"was"	"reach"	"after"	"three"	"days"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"just"	"this"	"has"	"desk"	"has_just"	"just_this"	"this_desk"	"letter_has_just"	"has_just_this"	"just_this_desk"	"this_desk_from"	"NN"	"VBZ"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"fascinating"	"has"	"just"	"reach"	"this"	"desk"	"from"	"a"	"correspondent"	"who"	"like"	"to"	"receive"	"so-called"	"junk"	"mail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"which"	"their"	"color"	"height"	"color_which"	"which_their"	"their_height"	"of_color_which"	"color_which_their"	"which_their_height"	"their_height_from"	"IN"	"NN"	"WDT"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"michigan"	"wisconsin"	"and"	"minnesota"	"have"	"superb"	"stretches"	"of"	"color"	"which"	"reach"	"their"	"height"	"from"	"the"	"last"	"few"	"days"	"of"	"september"	"well"	"into"	"october"	"especially"	"in"	"their"	"northern"	"sections"	"e._g."	"wisconsin"	"vilas_county"	"whose"	"colorama"	"celebration"	"be"	"sept."	"oct"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"after"	"15"	"almost"	"15_was"	"was_after"	"after_almost"	"oct._15_was"	"15_was_after"	"was_after_almost"	"after_almost_18"	"NNP"	"CD"	"VBD"	"VB"	"IN"	"RB"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"agreement"	"between"	"the"	"leaders"	"of"	"four"	"which"	"contest"	"indecisive"	"elections"	"on"	"oct."	"was"	"reach"	"after"	"almost"	"hours"	"of"	"political"	"bargaining"	"under"	"the"	"threat"	"of"	"an"	"army"	"coup"	"d"	"etat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"been"	"on"	"had"	"a"	"had_been"	"been_on"	"on_a"	"agreement_had_been"	"had_been_on"	"been_on_a"	"on_a_solution"	"NN"	"VBD"	"VBN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"party"	"leaders"	"come_out"	"of"	"the"	"final"	"meeting"	"satisfied"	"and"	"state"	"that"	"complete"	"agreement"	"had"	"been"	"reach"	"on"	"a"	"solution"	"to"	"the"	"crisis"	"create"	"by"	"the"	"elections"	"which"	"leave"	"no"	"party"	"with"	"enough"	"strength"	"to"	"form"	"a"	"government"	"on"	"its"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"∅"	"for"	"∅"	"an"	"∅_∅"	"∅_for"	"for_an"	"∅_∅_∅"	"∅_∅_for"	"∅_for_an"	"for_an_old"	"ε"	"ε"	"ε"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"an"	"old"	"clay"	"pot"	"relic"	"of"	"pioneer"	"days"	"he"	"tear"	"the"	"envelope"	"in"	"pieces"	"drop"	"them"	"into"	"it"	"touch"	"the"	"little"	"pyre"	"to"	"flame"	"watch"	"it"	"curl"	"the"	"red"	"sealing_wax"	"melt"	"and"	"bubble"	"in"	"the"	"feathery"	"ash"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"has"	"its"	"west_berlin"	"apogee"	"west_berlin_has"	"has_its"	"its_apogee"	"of_west_berlin_has"	"west_berlin_has_its"	"has_its_apogee"	"its_apogee_."	"IN"	"NN"	"VBZ"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"u._s."	"pressure"	"on"	"britain"	"to"	"foster"	"war"	"over"	"the"	"status"	"of"	"west_berlin"	"has"	"reach"	"its"	"apogee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"a"	"fail"	"verdict"	"fail_to"	"to_a"	"a_verdict"	"jury_fail_to"	"fail_to_a"	"to_a_verdict"	"a_verdict_."	"NN"	"VB"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"verdict"	"bring"	"vindication"	"to"	"the"	"dead"	"woman"	"stepson"	"vincent_hengesbach"	"who"	"was"	"try"	"for"	"the"	"same"	"crime"	"december"	"and"	"release"	"when"	"the"	"jury"	"fail"	"to"	"reach"	"a"	"verdict"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"was"	","	"street"	"robinson"	"street_was"	"was_,"	",_robinson"	"st_street_was"	"street_was_,"	"was_,_robinson"	",_robinson_relate"	"NN"	"NN"	"VBD"	"VB"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"st"	"was"	"reach"	"robinson"	"relate"	"he"	"stop"	"the"	"bus"	"and"	"tell"	"the"	"youths"	"he"	"was"	"go"	"to"	"call"	"the"	"cta"	"supervisor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"be"	"for"	"not"	"comment"	"not_be"	"be_for"	"for_comment"	"could_not_be"	"not_be_for"	"be_for_comment"	"for_comment_."	"MD"	"RB"	"VB"	"VB"	"IN"	"NN"	"ε"	"of"	"the"	"democratic-endorsed"	"majority"	"on"	"the"	"school_board"	"say"	"they"	"probably"	"would"	"vote"	"to"	"appeal"	"a"	"ruling"	"by"	"the"	"state"	"board_of_education"	"which"	"say"	"yesterday"	"that"	"the"	"school"	"committee"	"act"	"improperly"	"in"	"its"	"appointment"	"of"	"the"	"coordinator"	"francis_p._nolan"	"rd"	"the"	"democratic-endorsed"	"committee"	"chairman"	"could"	"not"	"be"	"for"	"comment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"a"	"fail"	"verdict"	"fail_to"	"to_a"	"a_verdict"	"that_fail_to"	"fail_to_a"	"to_a_verdict"	"a_verdict_in"	"WDT"	"VB"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fbi"	"yesterday"	"arrest"	"on"	"a"	"perjury"	"charge"	"of"	"the"	"members"	"of"	"the"	"jury"	"that"	"fail"	"to"	"reach"	"a"	"verdict"	"in"	"the"	"freedom_rider"	"bus"	"burn"	"trial"	"four"	"weeks"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"experiments"	"the"	"their"	"farmers"	"their_experiments"	"experiments_the"	"the_farmers"	"of_their_experiments"	"their_experiments_the"	"experiments_the_farmers"	"the_farmers_who"	"IN"	"PRP$"	"NNS"	"VB"	"DT"	"NNS"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"news"	"their"	"experiments"	"reach"	"the"	"farmers"	"who"	"forget"	"that"	"birds"	"be"	"the_most"	"efficient"	"natural"	"enemies"	"of"	"insects"	"and"	"rodents"	"are"	"encourage"	"to"	"try"	"to"	"get_rid_of"	"all"	"birds"	"that"	"occasionally"	"peck"	"their"	"grapes"	"or"	"their"	"blueberries"	"buchheister"	"tell"	"the"	"delegates"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"to"	"."	"unable"	"∅"	"unable_to"	"to_."	"._∅"	"be_unable_to"	"unable_to_."	"to_._∅"	"._∅_∅"	"VB"	"JJ"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"has"	"be"	"obvious"	"to"	"the"	"assessors"	"particularly"	"those"	"in"	"shore"	"communities"	"that"	"boats"	"the"	"largest"	"category"	"of"	"tangible"	"personal_property"	"which"	"they"	"have"	"be"	"unable"	"to"	"reach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"the"	"small"	"apple_tree"	"small_to"	"to_the"	"the_apple_tree"	"too_small_to"	"small_to_the"	"to_the_apple_tree"	"the_apple_tree_bough"	"RB"	"JJ"	"TO"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"then"	"for"	"how"	"many"	"year"	"or"	"how"	"few"	"does"	"not"	"matter"	"my"	"world"	"bound"	"round"	"by"	"fence"	"when"	"i"	"be"	"too"	"small"	"to"	"reach"	"the"	"apple_tree"	"bough"	"to"	"twist"	"my"	"knee"	"over"	"it"	"and"	"pull_up"	"myself"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"river"	"the"	"the"	"level"	"the_river"	"river_the"	"the_level"	"of_the_river"	"the_river_the"	"river_the_level"	"the_level_of"	"IN"	"DT"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"jetting"	"frothing"	"of"	"the"	"river"	"reach"	"the"	"level"	"of"	"the"	"runoff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"that"	"clear"	"water"	"to"	"water_that"	"that_clear"	"clear_to"	"of_water_that"	"water_that_clear"	"that_clear_to"	"clear_to_the"	"IN"	"NN"	"WDT"	"VB"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beaten"	"with"	"fear"	"and"	"sound"	"and"	"wet"	"and"	"chill"	"they"	"crawl"	"to"	"hurricane_deck"	"and"	"look"	"out"	"haggardly"	"at"	"a"	"world"	"of"	"water"	"that"	"reach"	"clear"	"to"	"the"	"surrounding"	"hills"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"that"	"everywhere"	"water"	"."	"water_that"	"that_everywhere"	"everywhere_."	"muddy_water_that"	"water_that_everywhere"	"that_everywhere_."	"everywhere_._∅"	"JJ"	"NN"	"WDT"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"was"	"no"	"real"	"sign"	"of"	"the"	"river"	"now"	"just"	"a"	"oily"	"ribbon"	"of"	"liquid"	"movement"	"through"	"muddy"	"water"	"that"	"reach"	"everywhere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"finally"	"his"	"and"	"own"	"and_finally"	"finally_his"	"his_own"	",_and_finally"	"and_finally_his"	"finally_his_own"	"his_own_land"	"ε"	"CC"	"RB"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the_king"	"person"	"break_out"	"of"	"a"	"long"	"period"	"of"	"petulance"	"and"	"inertia"	"regain"	"old"	"self"	"escape"	"from"	"turkey"	"and"	"finally"	"reach"	"his"	"own"	"land"	"after"	"an"	"absence"	"of"	"eighteen"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"in"	"new"	"publicity"	"member"	"publicity_in"	"in_new"	"new_member"	"and_publicity_in"	"publicity_in_new"	"in_new_member"	"new_member_."	"CC"	"NN"	"IN"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"transmutation"	"of"	"mission"	"to"	"co-optation"	"is"	"further"	"indicate"	"by"	"insignificance"	"of"	"educational_activity"	"worship"	"preaching"	"and"	"publicity"	"in"	"reach"	"new"	"member"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"easy"	"of"	"within"	"every"	"within_easy"	"easy_of"	"of_every"	"boy_within_easy"	"within_easy_of"	"easy_of_every"	"of_every_family"	"NN"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"my"	"view"	"there"	"should"	"be"	"a"	"school"	"offer"	"significant"	"vocational_program"	"for"	"boy"	"within"	"easy"	"reach"	"of"	"every"	"family"	"in"	"a"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"to"	"the"	"more"	"corner"	"more_to"	"to_the"	"the_corner"	"three_more_to"	"more_to_the"	"to_the_corner"	"the_corner_,"	"JJ"	"NN"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"in"	"his"	"car"	"with"	"his"	"camera"	"and"	"equipment"	"bag"	"less_than"	"two"	"minute"	"and"	"it"	"take"	"him"	"only"	"three"	"more"	"to"	"reach"	"the"	"corner"	"a"	"block"	"from"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"far"	"."	"and"	"∅"	"and_far"	"far_."	"._∅"	"profound_and_far"	"and_far_."	"far_._∅"	"._∅_∅"	"JJ"	"CC"	"JJ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"concerned"	"with"	"social_welfare"	"legislation"	"the"	"significance"	"of"	"this"	"radical"	"and"	"revolutionary"	"change"	"in"	"the"	"thought"	"habit"	"of"	"the"	"vast"	"majority"	"of"	"the"	"american"	"people"	"be"	"clear"	"profound"	"and"	"far"	"reach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
