"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"
"2:41:02::"	"he"	"to"	"since"	"show"	"since_he"	"he_to"	"to_show"	"especially_since_he"	"since_he_to"	"he_to_show"	"to_show_any"	"RB"	"IN"	"PRP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"petitioner"	"was"	"not"	"entitle"	"to"	"have"	"the"	"note"	"and"	"report"	"especially"	"since"	"he"	"fail"	"to"	"show"	"any"	"particular"	"need"	"for"	"them"	"and"	"he"	"did"	"have"	"a"	"copy"	"of"	"the"	"group"	"recommendation"	"to"	"the"	"appeal_board"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"and"	"altogether"	"ambiguous"	","	"ambiguous_and"	"and_altogether"	"altogether_,"	"completely_ambiguous_and"	"ambiguous_and_altogether"	"and_altogether_,"	"altogether_,_of_course"	"RB"	"JJ"	"CC"	"VB"	"RB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"obviously"	"a"	"satisfactory"	"answer"	"to"	"the"	"third"	"question"	"be"	"imperative"	"if"	"the"	"argument"	"is"	"to"	"get"	"underway"	"at_all"	"for"	"if"	"there"	"be"	"any"	"possibility"	"doubt"	"whether"	"the"	"patient"	"tactual"	"sensitivity"	"had"	"been"	"impair"	"by"	"the"	"occipital"	"lesion"	"any"	"finding"	"whatsoever"	"in"	"regard_to"	"the"	"first"	"question"	"completely"	"ambiguous"	"and"	"fail"	"altogether"	"of_course"	"as"	"evidence"	"to"	"establish"	"the"	"desired"	"conclusion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"that"	","	"when"	"he"	"when_that"	"that_,"	",_he"	"∅_when_that"	"when_that_,"	"that_,_he"	",_he_enlist"	"ε"	"WRB"	"WDT"	"VB"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"fail"	"he"	"enlist"	"person"	"aid"	"in"	"the"	"formation"	"of"	"a"	"third"	"major_league"	"the"	"group"	"with"	"new_york"	"as"	"the"	"key"	"franchise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"never"	"to"	"history"	"honor"	"history_never"	"never_to"	"to_honor"	"which_history_never"	"history_never_to"	"never_to_honor"	"to_honor_."	"WDT"	"NN"	"RB"	"VB"	"TO"	"VB"	"ε"	"while"	"we"	"most"	"decidedly"	"disapprove"	"the"	"method"	"he"	"adopt"	"to"	"accomplish"	"his"	"object"	"yet"	"in"	"his"	"willingness"	"to"	"die"	"in"	"aid"	"of"	"the"	"great"	"cause"	"of"	"human"	"freedom"	"we"	"still"	"recognize"	"the"	"quality"	"of"	"a"	"noble"	"nature"	"and"	"the"	"exercise"	"of"	"a"	"spirit"	"which"	"true"	"man"	"have"	"always"	"admire"	"and"	"history"	"never"	"to"	"honor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"cannot"	"to"	"educator"	"lower"	"educator_cannot"	"cannot_to"	"to_lower"	"the_educator_cannot"	"educator_cannot_to"	"cannot_to_lower"	"to_lower_his"	"DT"	"NN"	"MD"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"anomalous"	"status"	"the"	"educator"	"cannot"	"fail"	"to"	"lower"	"his"	"standing"	"in"	"the"	"eyes"	"of"	"the"	"student"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"not"	"to"	"must"	"hear"	"must_not"	"not_to"	"to_hear"	"he_must_not"	"must_not_to"	"not_to_hear"	"to_hear_it"	"PRP"	"VB"	"RB"	"VB"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"not"	"fail"	"to"	"hear"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"but"	"to"	"threaten"	"tally"	"threaten_but"	"but_to"	"to_tally"	"group_threaten_but"	"threaten_but_to"	"but_to_tally"	"to_tally_."	"NNP"	"VB"	"CC"	"VB"	"TO"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"foot"	"inch"	"pounder"	"give_up"	"the"	"group"	"last"	"two"	"safety"	"over"	"the"	"final"	"three"	"frame"	"escape"	"a"	"load"	"of"	"in"	"the"	"ninth"	"when"	"the"	"group"	"threaten"	"but"	"fail"	"to"	"tally"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"pinch_hitter"	"to"	"consecutive"	"produce"	"consecutive_pinch_hitter"	"pinch_hitter_to"	"to_produce"	"three_consecutive_pinch_hitter"	"consecutive_pinch_hitter_to"	"pinch_hitter_to_produce"	"to_produce_."	"JJ"	"JJ"	"NN"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"consecutive"	"pinch_hitter"	"fail"	"to"	"produce"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"after"	"in"	","	"a"	",_after"	"after_in"	"in_a"	"and_,_after"	",_after_in"	"after_in_a"	"in_a_bunt"	"CC"	"ε"	"IN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"send"	"person"	"and"	"after"	"fail"	"in"	"a"	"bunt"	"attempt"	"pop"	"to"	"person"	"on"	"the"	"grass"	"back"	"of"	"short"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"may"	"to"	"conditioned_stimulus"	"elicit"	"conditioned_stimulus_may"	"may_to"	"to_elicit"	"the_conditioned_stimulus_may"	"conditioned_stimulus_may_to"	"may_to_elicit"	"to_elicit_a"	"DT"	"NN"	"MD"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"has"	"further"	"been"	"show"	"that"	"an"	"experimental"	"neurosis"	"in"	"its"	"initial"	"stage"	"is"	"associate"	"with"	"a"	"reversible"	"shift"	"in"	"the"	"central"	"autonomic"	"balance"	"drug"	"alter"	"the"	"hypothalamic"	"balance"	"alter"	"conditioned_reaction"	"in"	"a"	"state"	"of"	"depression"	"the"	"conditioned_stimulus"	"fail"	"to"	"elicit"	"a"	"conditioned_reaction"	"but"	"cause"	"an"	"increased"	"synchrony"	"instead"	"of"	"the"	"excitatory"	"desynchronizing"	"alerting"	"effect"	"on"	"the"	"eeg"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
