"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"2:41:00::"	"would"	"bank"	"it"	"to"	"it_would"	"would_bank"	"bank_to"	"say_it_would"	"it_would_bank"	"would_bank_to"	"bank_to_violate"	"VB"	"PRP"	"MD"	"VB"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"location"	"lawyer"	"represent"	"the"	"group"	"sound"	"opposition"	"keynote"	"when"	"he"	"say"	"it"	"would"	"force"	"bank"	"to"	"violate"	"their"	"contractual"	"obligation"	"with"	"depositor"	"and"	"undermine"	"the"	"confidence"	"of"	"bank"	"customer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"have"	"these"	"which"	"people"	"which_have"	"have_these"	"these_people"	"problem_which_have"	"which_have_these"	"have_these_people"	"these_people_to"	"NN"	"WDT"	"VBP"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"must"	"solve"	"problem"	"which"	"have"	"force"	"these"	"people"	"to"	"depend_upon"	"group"	"for"	"subsistence"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	"∅"	"the"	"∅_the"	"the_of"	"of_the"	"∅_∅_the"	"∅_the_of"	"the_of_the"	"of_the_author"	"ε"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"force"	"of"	"the"	"author"	"analysis"	"if"	"indeed"	"it"	"have"	"any"	"force"	"can"	"be"	"feel"	"by"	"the"	"reader"	"i"	"believe"	"only"	"after"	"three"	"question"	"have"	"been"	"successfully"	"answer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"any"	")"	"have"	"can"	"have_any"	"any_)"	")_can"	"it_have_any"	"have_any_)"	"any_)_can"	")_can_be"	"PRP"	"VB"	"DT"	"NN"	"ε"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"force"	"of"	"the"	"author"	"analysis"	"indeed"	"it"	"have"	"any"	"force"	"can"	"be"	"feel"	"by"	"the"	"reader"	"i"	"believe"	"only"	"after"	"three"	"question"	"have"	"been"	"successfully"	"answer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"injury"	"person"	"an"	"to"	"an_injury"	"injury_person"	"person_to"	"∅_an_injury"	"an_injury_person"	"injury_person_to"	"person_to_quit"	"ε"	"DT"	"NN"	"VB"	"NNP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"injury"	"force"	"person"	"to"	"quit"	"after"	"the"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"been"	"to"	"'d"	"undergo"	"'d_been"	"been_to"	"to_undergo"	"he_'d_been"	"'d_been_to"	"been_to_undergo"	"to_undergo_."	"PRP"	"MD"	"VBN"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"this"	"moment"	"all"	"he"	"could"	"be"	"what"	"he"	"been"	"force"	"to"	"undergo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"would"	"it"	"governor"	"to"	"governor_would"	"would_it"	"it_to"	"for_governor_would"	"governor_would_it"	"would_it_to"	"it_to_take"	"IN"	"NN"	"MD"	"VB"	"PRP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"location"	"meeting"	"the"	"audience"	"was"	"that"	"enter"	"a"	"candidate"	"for"	"governor"	"would"	"force"	"it"	"to"	"take"	"petition"	"out"	"into"	"voting_precinct"	"to"	"obtain"	"the"	"signature"	"of"	"register"	"voter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"are"	"to"	"we"	"go"	"we_are"	"are_to"	"to_go"	"indeed_we_are"	"we_are_to"	"are_to_go"	"to_go_much"	"RB"	"PRP"	"VBP"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"indeed"	"are"	"force"	"to"	"go"	"much"	"farther"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"a"	"normal"	"exert"	"to"	"exert_a"	"a_normal"	"normal_to"	"and_exert_a"	"exert_a_normal"	"a_normal_to"	"normal_to_the"	"CC"	"VB"	"DT"	"NN"	"JJ"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"concept"	"of"	"the"	"strain"	"energy"	"as"	"a"	"function"	"difference"	"f"	"and"	"exert"	"a"	"force"	"normal"	"to"	"the"	"shearing"	"face"	"be"	"compatible"	"with"	"the"	"information"	"obtain"	"from"	"optical"	"birefringence"	"study"	"of"	"fluid"	"undergo"	"shear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"dramatic"	"in"	"with"	"person"	"with_dramatic"	"dramatic_in"	"in_person"	"bring_out_with_dramatic"	"with_dramatic_in"	"dramatic_in_person"	"in_person_'s"	"VB"	"IN"	"JJ"	"NN"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"situation"	"in"	"which"	"we"	"ourselves"	"is"	"bring_out"	"with"	"dramatic"	"force"	"in"	"person"	"play"	"the_crucible"	"which"	"deal"	"with"	"the"	"location"	"witch"	"trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
