"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"1:04:01::"	"two"	"weekend"	"a"	"series"	"a_two"	"two_weekend"	"weekend_series"	"of_a_two"	"a_two_weekend"	"two_weekend_series"	"weekend_series_with"	"IN"	"DT"	"JJ"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"will"	"engage"	"in"	"his"	"first"	"workout"	"at"	"prior"	"to"	"the"	"opening"	"tomorrow"	"night"	"of"	"a"	"two"	"game"	"weekend"	"series"	"with"	"the"	"new_york"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"weekend"	"."	"both"	"∅"	"both_weekend"	"weekend_."	"._∅"	"for_both_weekend"	"both_weekend_."	"weekend_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"successor"	"to"	"person"	"at"	"the"	"group"	"helm"	"plan"	"to"	"bring"	"the"	"entire"	"new_york"	"squad"	"from"	"st._petersburg"	"include"	"person"	"and"	"large"	"crowd"	"anticipate"	"for"	"both"	"weekend"	"game"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"before"	"time"	"just"	","	"just_before"	"before_time"	"time_,"	"∅_just_before"	"just_before_time"	"before_time_,"	"time_,_person"	"ε"	"RB"	"IN"	"NN"	"NN"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"game"	"time"	"person"	"pretty"	"wife"	"person"	"inform"	"him"	"that"	"an"	"addition"	"to"	"the"	"family"	"can"	"be"	"expect"	"late"	"next"	"summer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"last"	"of"	"the"	"the"	"the_last"	"last_of"	"of_the"	"in_the_last"	"the_last_of"	"last_of_the"	"of_the_1960"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"injure"	"his"	"knee"	"in"	"the"	"last"	"game"	"of"	"the"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"three"	"."	"after"	"∅"	"after_three"	"three_."	"._∅"	"score_after_three"	"after_three_."	"three_._∅"	"._∅_∅"	"VB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"texas"	"halfback"	"who"	"does"	"n't"	"even"	"know"	"the"	"team"	"person"	"rank"	"fourth"	"in"	"group"	"score"	"after"	"three"	"game"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"two"	"this"	"first"	"year"	"first_two"	"two_this"	"this_year"	"the_first_two"	"first_two_this"	"two_this_year"	"this_year_by"	"DT"	"JJ"	"JJ"	"NN"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"bother"	"the"	"first"	"two"	"game"	"this"	"year"	"by"	"a"	"pull"	"muscle"	"in"	"the"	"thigh"	"of"	"his"	"right"	"kick"	"leg"	"and"	"as"	"a"	"result"	"several"	"of"	"his"	"successful"	"conversion"	"have"	"go"	"barely"	"far"	"enough"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"three"	","	"first"	"the"	"first_three"	"three_,"	",_the"	"their_first_three"	"first_three_,"	"three_,_the"	",_the_group"	"PRP$"	"JJ"	"JJ"	"NN"	"ε"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"first"	"three"	"game"	"the"	"group"	"have"	"have"	"the"	"ball"	"time"	"and"	"score"	"time"	"or"	"percent"	"their"	"total"	"passing"	"yardage"	"in"	"three"	"game"	"on"	"completion"	"in"	"attempt"	"be"	"only"	"yard"	"short"	"of"	"their"	"total"	"passing"	"yardage"	"in"	"when"	"they"	"make"	"on"	"completion"	"in"	"try"	
"1:04:03::"	"three"	","	"in"	"447"	"in_three"	"three_,"	",_447"	"yardage_in_three"	"in_three_,"	"three_,_447"	",_447_on"	"NN"	"IN"	"JJ"	"NN"	"ε"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"their"	"first"	"three"	"game"	"the"	"group"	"have"	"the"	"ball"	"time"	"and"	"score"	"time"	"or"	"percent"	"their"	"passing"	"yardage"	"in"	"three"	"game"	"on"	"completion"	"in"	"attempt"	"be"	"only"	"yard"	"short"	"of"	"their"	"total"	"passing"	"yardage"	"in"	"when"	"they"	"make"	"on"	"completion"	"in"	"try"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"the"	"'s"	"and"	","	"and_the"	"the_'s"	"'s_,"	",_and_the"	"and_the_'s"	"the_'s_,"	"'s_,_final"	"ε"	"CC"	"DT"	"NN"	"POS"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"the"	"game"	"final"	"play"	"be"	"a"	"long"	"pass"	"by"	"quarterback"	"person"	"which"	"person"	"intercept"	"on"	"his"	"own"	"and"	"return"	"yard"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"group"	"''"	"the"	","	"the_group"	"group_''"	"''_,"	"for_the_group"	"the_group_''"	"group_''_,"	"''_,_person"	"IN"	"DT"	"NNP"	"NN"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"very"	"for"	"the"	"group"	"game"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"the"	"player"	"∅"	"see"	"∅_the"	"the_player"	"player_see"	"∅_∅_the"	"∅_the_player"	"the_player_see"	"player_see_the"	"ε"	"ε"	"DT"	"NN"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"game"	"player"	"see"	"the"	"group"	"film"	"monday"	"run"	"for"	"then"	"go"	"in"	"while"	"the"	"reserve"	"scrimmage"	"for"	"minute"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"the"	"'s"	"of"	"greatest"	"of_the"	"the_'s"	"'s_greatest"	"one_of_the"	"of_the_'s"	"the_'s_greatest"	"'s_greatest_collector"	"JJ"	"IN"	"DT"	"NN"	"POS"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"location"	"coach"	"person"	"who"	"become"	"one"	"of"	"the"	"game"	"greatest"	"collector"	"of"	"quarterback"	"apparently"	"now"	"has"	"find"	"a"	"productive"	"pair"	"in"	"two"	"ex"	"group"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"the"	"."	"of"	"∅"	"of_the"	"the_."	"._∅"	"movie_of_the"	"of_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"interior"	"line"	"and"	"our"	"linebacker"	"play"	"exceptionally"	"well"	"say"	"person"	"he"	"and"	"his"	"staff"	"review"	"movie"	"of"	"the"	"game"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"the"	"through"	"win"	"ball"	"win_the"	"the_through"	"through_ball"	"group_win_the"	"win_the_through"	"the_through_ball"	"through_ball_control"	"NNP"	"VB"	"DT"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"win"	"the"	"game"	"through"	"ball"	"control"	"with"	"quarterback"	"person"	"throw"	"only"	"pass"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"-"	"total"	"3"	"offense"	"3_-"	"-_total"	"total_offense"	"a_3_-"	"3_-_total"	"-_total_offense"	"total_offense_of"	"DT"	"JJ"	"ε"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"yard"	"spree"	"against"	"group"	"give"	"group"	"a"	"game"	"total"	"offense"	"of"	"yard"	"rushing"	"and"	"passing"	"a"	"new"	"group"	"high"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"per"	"rushing"	"in"	"average"	"in_per"	"per_rushing"	"rushing_average"	"lead_in_per"	"in_per_rushing"	"per_rushing_average"	"rushing_average_,"	"VB"	"IN"	"JJ"	"NN"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"in"	"per"	"game"	"rushing"	"average"	"yard"	"and"	"passing"	"to"	"group"	"but"	"idle"	"group"	"have"	"the"	"best"	"defensive"	"record"	"yard"	"per"	"game"	"to"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"per"	"to"	"yard"	"group"	"yard_per"	"per_to"	"to_group"	"187.5_yard_per"	"yard_per_to"	"per_to_group"	"to_group_'"	"CD"	"NN"	"IN"	"NN"	"TO"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"lead"	"in"	"per"	"game"	"rushing"	"average"	"yard"	"and"	"passing"	"to"	"group"	"but"	"idle"	"group"	"have"	"the"	"best"	"defensive"	"record"	"yard"	"per"	"to"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
