"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"
"4:02:02::"	","	"dominate"	"psychologist"	"her"	"psychologist_,"	",_dominate"	"dominate_her"	"new_york_psychologist_,"	"psychologist_,_dominate"	",_dominate_her"	"dominate_her_husband"	"NN"	"NN"	"ε"	"RB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"wife"	"describe"	"by"	"new_york"	"psychologist"	"so"	"dominate"	"her"	"husband"	"that"	"she"	"actually"	"placed"	"their"	"sexual_relationship"	"on"	"a"	"schedule"	"write_down"	"it"	"down"	"right"	"between"	"the"	"weekly"	"group"	"meeting"	"and"	"the"	"thursday"	"night"	"neighborhood"	"card"	"party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"be"	"accustomed"	"he"	"to"	"he_be"	"be_accustomed"	"accustomed_to"	",_he_be"	"he_be_accustomed"	"be_accustomed_to"	"accustomed_to_submit"	"ε"	"PRP"	"VB"	"RB"	"JJ"	"JJ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"often"	"though"	"be"	"so"	"accustomed"	"to"	"submit"	"to"	"authority"	"on"	"the"	"job"	"without"	"argument"	"that"	"he"	"live"	"by"	"the"	"same"	"rule"	"at"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:true:00"	"be"	"."	"thing"	"∅"	"thing_be"	"be_."	"._∅"	"these_thing_be"	"thing_be_."	"be_._∅"	"._∅_∅"	"DT"	"NN"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"n't"	"his"	"that"	"these"	"thing"	"be"	"so"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"him"	"many"	"cause"	"wakeful"	"cause_him"	"him_many"	"many_wakeful"	"had_cause_him"	"cause_him_many"	"him_many_wakeful"	"many_wakeful_hour"	"VBD"	"VB"	"PRP"	"RB"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"old"	"nightmare"	"had"	"cause"	"him"	"so"	"many"	"wakeful"	"hour"	"come"	"charge"	"in"	"on"	"him"	"once_more"	"only"	"this"	"time"	"he"	"could"	"n't"	"pacify"	"it"	"with"	"a"	"sleeping_pill"	"and"	"send"	"it"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:true:00"	"if"	"lower"	"and"	"its"	"and_if"	"if_lower"	"lower_its"	",_and_if"	"and_if_lower"	"if_lower_its"	"lower_its_unadjusted"	"ε"	"CC"	"IN"	"JJ"	"VB"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"if"	"the"	"particular"	"state"	"unadjusted"	"allotment"	"result"	"obtain"	"in"	"item"	"above"	"great"	"than"	"its"	"maximum"	"allotment"	"and"	"if"	"so"	"lower"	"its"	"unadjusted"	"allotment"	"to"	"its"	"maximum"	"allotment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:true:00"	"if"	"raise"	"and"	"its"	"and_if"	"if_raise"	"raise_its"	",_and_if"	"and_if_raise"	"if_raise_its"	"raise_its_unadjusted"	"ε"	"CC"	"IN"	"JJ"	"VB"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"if"	"the"	"particular"	"state"	"unadjusted"	"allotment"	"result"	"obtain"	"in"	"item"	"above"	"be"	"its"	"minimum"	"base"	"allotment"	"and"	"if"	"so"	"raise"	"its"	"unadjusted"	"allotment"	"to"	"its"	"minimum"	"allotment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"find_fault_with"	"true"	"to"	"a"	"to_find_fault_with"	"find_fault_with_true"	"true_a"	"able_to_find_fault_with"	"to_find_fault_with_true"	"find_fault_with_true_a"	"true_a_statement"	"JJ"	"JJ"	"VB"	"RB"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"regret"	"not"	"able"	"to"	"find_fault_with"	"so"	"true"	"a"	"statement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"two"	"disparate"	"between"	"and"	"between_two"	"two_disparate"	"disparate_and"	"conflict_between_two"	"between_two_disparate"	"two_disparate_and"	"disparate_and_fervent"	"NN"	"IN"	"JJ"	"RB"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"texture"	"of"	"this"	"tapestry"	"of"	"history"	"and"	"human"	"drama"	"person"	"as"	"every"	"artist"	"delight"	"to"	"do"	"weave"	"strand"	"of"	"her"	"intuitive"	"insight"	"into"	"human"	"nature"	"and"	"especially"	"in"	"the"	"remarkable"	"story"	"of"	"the"	"attraction"	"and"	"conflict"	"between"	"two"	"so"	"disparate"	"and"	"fervent"	"character"	"as"	"this"	"pair"	"into"	"the"	"relations"	"of"	"man"	"and"	"woman"	"in"	"their"	"relations"	"she"	"be"	"the"	"giver"	"and"	"he"	"the"	"receiver"	"nay"	"the"	"demander"	"0"	"0"	"0"	
"4:02:02::"	"be"	"pleased"	"person"	"with"	"person_be"	"be_pleased"	"pleased_with"	"∅_person_be"	"person_be_pleased"	"be_pleased_with"	"pleased_with_the"	"ε"	"NNP"	"VB"	"RB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"so"	"pleased"	"with"	"the"	"quality"	"of"	"her"	"biographical"	"study"	"of"	"person"	"that"	"he"	"consider"	"submit"	"it"	"to"	"the"	"century_magazine"	"or"	"harper"	"but"	"he"	"decide"	"that"	"its"	"jewish"	"subject"	"probably"	"would"	"not"	"interest"	"them"	"and"	"publish"	"it"	"in"	"the_messenger"	"so"	"our"	"reader"	"will"	"be"	"benefit"	"instead"	"0"	"0"	"0"	"0"	
"4:02:06::"	"``"	"our"	","	"reader"	",_``"	"``_our"	"our_reader"	"the_messenger_,_``"	",_``_our"	"``_our_reader"	"our_reader_will"	"NNP"	"ε"	"ε"	"RB"	"PRP$"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"so"	"pleased"	"with"	"the"	"quality"	"of"	"her"	"biographical"	"study"	"of"	"person"	"that"	"he"	"consider"	"submit"	"it"	"to"	"the"	"century_magazine"	"harper"	"but"	"he"	"decide"	"that"	"its"	"jewish"	"subject"	"probably"	"would"	"not"	"interest"	"them"	"and"	"publish"	"it"	"in"	"the_messenger"	"so"	"our"	"reader"	"will"	"be"	"benefit"	"instead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:05::"	"do"	"by"	"may"	"file"	"may_do"	"do_by"	"by_file"	"you_may_do"	"may_do_by"	"do_by_file"	"by_file_an"	"PRP"	"MD"	"VB"	"RB"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"elect"	"to"	"use"	"the"	"standard"	"deduction"	"or"	"the"	"tax"	"table"	"later"	"find"	"you"	"should"	"have"	"itemize"	"your"	"deduction"	"you"	"may"	"do"	"so"	"by"	"file"	"an"	"amended_return"	"within"	"the"	"time"	"prescribed"	"for"	"file"	"a"	"claim"	"for"	"refund"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"mirror"	"that"	"rotating"	"during"	"rotating_mirror"	"mirror_that"	"that_during"	"the_rotating_mirror"	"rotating_mirror_that"	"mirror_that_during"	"that_during_one-twentieth"	"DT"	"JJ"	"NN"	"RB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"video"	"signal"	"is"	"amplify"	"and"	"then"	"switch"	"in"	"synchronism"	"with"	"three"	"ultraviolet_light"	"source"	"which"	"are"	"sequence"	"by"	"the"	"rotating"	"mirror"	"so"	"that"	"during"	"one-twentieth"	"of"	"a"	"second"	"only"	"one"	"wavelength"	"correspond"	"to"	"red"	"green"	"or"	"blue"	"is"	"see"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"contain"	"much"	"body"	"liquid"	"body_contain"	"contain_much"	"much_liquid"	"the_body_contain"	"body_contain_much"	"contain_much_liquid"	"much_liquid_,"	"DT"	"NN"	"VB"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"body"	"contain"	"so"	"much"	"liquid"	"transmission"	"of"	"ultrasonic"	"signal"	"proceed"	"fairly"	"well"	"in"	"muscle"	"and"	"blood_vessel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"evidence"	"strong"	"son"	"a"	"son_evidence"	"evidence_strong"	"strong_a"	"her_son_evidence"	"son_evidence_strong"	"evidence_strong_a"	"strong_a_musical"	"PRP$"	"NN"	"VB"	"RB"	"JJ"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"son"	"evidence"	"so"	"strong"	"a"	"musical"	"bent"	"his"	"mother"	"could"	"do"	"little"	"else"	"but"	"get"	"him"	"start"	"on"	"the"	"study"	"of"	"music"	"though"	"she"	"wait"	"until"	"he"	"be"	"ten"	"begin"	"with"	"the"	"piano"	"and"	"follow"	"that"	"with"	"the"	"trumpet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	","	"that"	"'s"	"person"	"'s_,"	",_that"	"that_person"	"person_'s_,"	"'s_,_that"	",_that_person"	"that_person_had_to"	"NNP"	"POS"	"ε"	"RB"	"RB"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"casual"	"dreamlike"	"work"	"method"	"often"	"as"	"not"	"in_absentia"	"an"	"abrupt"	"change"	"from"	"person"	"so"	"that"	"person"	"had_to"	"adjust"	"again"	"to"	"another"	"approach"	"to"	"collaboration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"with"	"closely"	"work"	","	"work_with"	"with_closely"	"closely_,"	"to_work_with"	"work_with_closely"	"with_closely_,"	"closely_,_for"	"VB"	"VB"	"IN"	"RB"	"RB"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"one"	"of"	"the"	"few"	"possibly"	"only"	"person"	"has"	"be"	"able"	"to"	"work"	"with"	"so"	"closely"	"for"	"they"	"hold"	"their"	"meeting"	"in"	"person"	"study"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"wave"	"huge"	"generate"	"that"	"generate_wave"	"wave_huge"	"huge_that"	"japan_generate_wave"	"generate_wave_huge"	"wave_huge_that"	"huge_that_they"	"NN"	"VB"	"NN"	"RB"	"JJ"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"an"	"earthquake"	"japan"	"generate"	"wave"	"so"	"huge"	"that"	"they"	"pile"	"into"	"the"	"location"	"one"	"wave"	"swamp"	"more"	"than"	"ship"	"and"	"boat"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"be"	"shallow"	"tsunami"	"in"	"tsunami_be"	"be_shallow"	"shallow_in"	"∅_tsunami_be"	"tsunami_be_shallow"	"be_shallow_in"	"shallow_in_comparison"	"ε"	"NN"	"VB"	"RB"	"JJ"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"so"	"shallow"	"in"	"comparison"	"with"	"their"	"length"	"that"	"in"	"the"	"open"	"ocean"	"they"	"be"	"hardly"	"detectable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"not"	"high"	"be"	"as"	"be_not"	"not_high"	"high_as"	"wave_be_not"	"be_not_high"	"not_high_as"	"high_as_in"	"NN"	"VB"	"RB"	"RB"	"JJ"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"turn_out"	"that"	"wave"	"be"	"not"	"so"	"high"	"as"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:05::"	"think"	"."	"i"	"∅"	"i_think"	"think_."	"._∅"	"``_i_think"	"i_think_."	"think_._∅"	"._∅_∅"	"ε"	"PRP"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"so"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"n't"	"many"	"be"	"after_all"	"be_n't"	"n't_many"	"many_after_all"	"they_be_n't"	"be_n't_many"	"n't_many_after_all"	"many_after_all_."	"PRP"	"VB"	"RB"	"RB"	"NN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"try"	"to"	"think_of"	"his"	"unpredictable"	"action"	"in"	"the"	"year"	"she"	"had"	"know"	"him"	"and"	"discover"	"they"	"be"	"n't"	"so"	"many"	"after_all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"already"	"tipsy"	"and"	"that"	"and_already"	"already_tipsy"	"tipsy_that"	"to_the_hilt_and_already"	"and_already_tipsy"	"already_tipsy_that"	"tipsy_that_it"	"RB"	"CC"	"RB"	"RB"	"JJ"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"against"	"all"	"expectation"	"person"	"be"	"inside"	"enjoy"	"himself"	"to_the_hilt"	"and"	"already"	"so"	"tipsy"	"that"	"it"	"seem"	"unlikely"	"he"	"was"	"bother"	"to"	"note"	"anything"	"or"	"anyone"	"about"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"be"	"filled"	"had"	"with"	"had_be"	"be_filled"	"filled_with"	"woman_had_be"	"had_be_filled"	"be_filled_with"	"filled_with_a"	"NN"	"VBD"	"VB"	"RB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"earlier"	"this"	"had"	"be"	"so"	"filled"	"with"	"a"	"chaotic"	"variety"	"of"	"introject"	"that"	"at_times"	"when"	"she"	"be"	"in"	"her"	"room"	"alone"	"it"	"would"	"sound"	"to"	"a"	"passerby"	"as"	"though"	"there"	"be"	"several"	"different"	"person"	"in"	"the"	"room"	"as"	"she"	"would"	"vocalize"	"in"	"various"	"kind"	"of"	"voice"	"0"	"0"	"0"	"0"	"0"	"0"	
