"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"
"2:39:00::"	"never"	"``"	"'ll"	"sayonara"	"'ll_never"	"never_``"	"``_sayonara"	"you_'ll_never"	"'ll_never_``"	"never_``_sayonara"	"``_sayonara_''"	"PRP"	"MD"	"RB"	"VB"	"ε"	"FW"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"hear"	"sayonara"	"the"	"japanese"	"word"	"for"	"goodbye"	"from"	"your"	"guests"	"when"	"you"	"give"	"a"	"hibachi"	"party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"he"	"a"	","	"slight"	",_he"	"he_a"	"a_slight"	"crash_,_he"	",_he_a"	"he_a_slight"	"a_slight_noise"	"NN"	"ε"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_the_middle"	"of"	"the"	"crash"	"he"	"hear"	"a"	"slight"	"noise"	"in"	"the"	"outer"	"office"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"he"	"it"	"then"	"and"	"then_he"	"he_it"	"it_and"	"∅_then_he"	"then_he_it"	"he_it_and"	"it_and_smell"	"ε"	"RB"	"PRP"	"VB"	"PRP"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"hear"	"it"	"and"	"smell"	"it"	"the"	"steady"	"hissing"	"the"	"dread"	"familiar"	"pungency"	"of"	"gas"	"escape"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"constantly"	"rodgers"	"the"	"and"	"the_constantly"	"constantly_rodgers"	"rodgers_and"	"of_the_constantly"	"the_constantly_rodgers"	"constantly_rodgers_and"	"rodgers_and_hart"	"VB"	"DT"	"RB"	"VB"	"NNP"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"of"	"these"	"double_entries"	"have"	"been"	"collect"	"by"	"ben_bagley"	"and"	"michael_mcwhinney"	"along"	"with"	"rodgers"	"and"	"hart"	"songs"	"disappear"	"permanently"	"en_route"	"to"	"new_york"	"and_others"	"that"	"reach"	"broadway"	"but"	"have"	"not"	"become"	"part"	"of"	"the"	"constantly"	"hear"	"rodgers"	"and"	"hart"	"repertory"	"in"	"a"	"delightfully"	"refreshing"	"album"	"rodgers"	"and"	"hart_revisited"	"spruce"	"records"	"fifth_avenue"	"new_york"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"have"	"him"	"you"	"tell"	"you_have"	"have_him"	"him_tell"	"∅_you_have"	"you_have_him"	"have_him_tell"	"him_tell_these"	"ε"	"PRP"	"VBP"	"VB"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"hear"	"him"	"tell"	"these"	"young"	"people"	"that"	"during"	"his"	"almost"	"years"	"of"	"service"	"in"	"the"	"congress"	"he"	"has"	"see"	"the"	"kaisers"	"and"	"the"	"hitlers"	"and"	"the"	"mussolinis"	"the"	"tojos"	"and"	"stalins"	"and"	"khrushchevs"	"come"	"and"	"go"	"and"	"that"	"we"	"are"	"pass_on"	"to"	"them"	"the"	"freest"	"nation"	"that"	"mankind"	"has"	"ever"	"know"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"can"	"and"	"negro"	"see"	"negro_can"	"can_and"	"and_see"	"the_negro_can"	"negro_can_and"	"can_and_see"	"and_see_his"	"DT"	"NNP"	"MD"	"VB"	"CC"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"negro-appeal"	"radio"	"be"	"more"	"important"	"to"	"the"	"negro"	"today"	"because"	"it"	"a"	"direct"	"and"	"powerful"	"mirror"	"in_which"	"the"	"negro"	"can"	"hear"	"and"	"see"	"his"	"ambitions"	"achievements"	"and"	"desires"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"the"	"council_chamber"	"late"	"council_chamber_to"	"to_the"	"the_late"	"high-ceilinged_council_chamber_to"	"council_chamber_to_the"	"to_the_late"	"the_late_leader"	"JJ"	"NN"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"come"	"together"	"in"	"huge"	"high-ceilinged"	"council_chamber"	"to"	"hear"	"the"	"late"	"leader"	"eulogize"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"once"	"a"	"i"	"comedian"	"i_once"	"once_a"	"a_comedian"	"∅_i_once"	"i_once_a"	"once_a_comedian"	"a_comedian_say"	"ε"	"PRP"	"RB"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"hear"	"a"	"comedian"	"say"	"that"	"if"	"you"	"are"	"kill"	"by"	"a"	"taxicab"	"in"	"new_york"	"it"	"is"	"list"	"as"	"death"	"due_to"	"natural"	"causes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"and"	"in"	"eyes"	"the"	"eyes_and"	"and_in"	"in_the"	"'s_eyes_and"	"eyes_and_in"	"and_in_the"	"in_the_pitch"	"POS"	"NNS"	"CC"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"havana"	"be"	"filled"	"with"	"an"	"excitement"	"which"	"you"	"see"	"in"	"the"	"brightness"	"of"	"men"	"eyes"	"and"	"hear"	"in"	"the"	"pitch"	"of"	"their"	"voices"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"never"	"of"	"had"	"a"	"had_never"	"never_of"	"of_a"	",_had_never"	"had_never_of"	"never_of_a"	"of_a_kotowaza"	"ε"	"VBD"	"RB"	"VB"	"VB"	"DT"	"FW"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tommy"	"of_course"	"never"	"hear"	"of"	"a"	"kotowaza"	"or"	"japanese"	"proverb"	"which"	"say"	"tanin"	"yori"	"miuchi"	"and"	"is"	"literally"	"translate"	"as"	"relatives"	"be"	"better"	"than"	"strangers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"can"	"some"	"i"	"of"	"i_can"	"can_some"	"some_of"	"∅_i_can"	"i_can_some"	"can_some_of"	"some_of_you"	"ε"	"PRP"	"MD"	"VB"	"DT"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"can"	"hear"	"some"	"of"	"you"	"folks"	"protest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"about"	"anxious"	"those"	"anxious_to"	"to_about"	"about_those"	"be_anxious_to"	"anxious_to_about"	"to_about_those"	"about_those_dazzling"	"VB"	"JJ"	"TO"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"anxious"	"to"	"hear"	"about"	"those"	"dazzling"	"days"	"on"	"the"	"great_white"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"consistently"	"the"	"i"	"foreign"	"i_consistently"	"consistently_the"	"the_foreign"	"broadcasts_i_consistently"	"i_consistently_the"	"consistently_the_foreign"	"the_foreign_volunteers"	"NNS"	"PRP"	"RB"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"news"	"i"	"consistently"	"hear"	"the"	"foreign"	"volunteers"	"fight"	"in"	"the"	"katanga_army"	"refer"	"to"	"as"	"mercenaries"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"the"	"be"	"verdict"	"be_to"	"to_the"	"the_verdict"	"and_be_to"	"be_to_the"	"to_the_verdict"	"the_verdict_read"	"CC"	"VB"	"TO"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"spectators"	"remain"	"in"	"the"	"court"	"the"	"day"	"and"	"be"	"to"	"hear"	"the"	"verdict"	"read"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"had"	"her"	"he"	"the"	"he_had"	"had_her"	"her_the"	"that_he_had"	"he_had_her"	"had_her_the"	"her_the_first"	"IN"	"PRP"	"VBD"	"VB"	"PRP$"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"cup"	"his"	"ear"	"and"	"shake"	"his"	"head"	"at"	"repetition"	"announce"	"in"	"a"	"nettled"	"way"	"that"	"he"	"had"	"hear"	"her"	"the"	"first"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"was"	"call"	"moscow"	","	"moscow_was"	"was_call"	"call_,"	"near_moscow_was"	"moscow_was_call"	"was_call_,"	"call_,_use"	"IN"	"NNP"	"VBD"	"VB"	"VB"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"six"	"radiomen"	"tell"	"how"	"twice"	"on"	"two"	"days"	"after"	"ring"	"was"	"nab"	"a"	"transmitter"	"near"	"moscow"	"was"	"hear"	"call"	"use"	"signals"	"times"	"and"	"wavelengths"	"specify"	"on"	"codes"	"find"	"hide"	"in"	"cigaret"	"lighters"	"in"	"lonsdale"	"apartment"	"and"	"the"	"krogers"	"house"	"and"	"also"	"fasten"	"to"	"the"	"transmitter"	"lid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"he"	"them"	"and_then"	"."	"and_then_he"	"he_them"	"them_."	"∅_and_then_he"	"and_then_he_them"	"he_them_."	"them_._∅"	"ε"	"RB"	"PRP"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"hear"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"tired_of"	"about"	"and"	"evadna_mae_evans"	"and_tired_of"	"tired_of_about"	"about_evadna_mae_evans"	"sick_and_tired_of"	"and_tired_of_about"	"tired_of_about_evadna_mae_evans"	"about_evadna_mae_evans_''"	"JJ"	"CC"	"JJ"	"VB"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"evadna_mae_evans"	"get"	"all"	"her"	"baby"	"clothes"	"from"	"best"	"liliputian_bazaar"	"new_york"	"and"	"i"	"be"	"sick"	"and"	"tired_of"	"hear"	"about"	"evadna_mae_evans"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"thou"	"its"	"and"	"sound"	"and_thou"	"thou_its"	"its_sound"	",_and_thou"	"and_thou_its"	"thou_its_sound"	"its_sound_but"	"ε"	"CC"	"PRP"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"wind"	"blow"	"where"	"will"	"and"	"thou"	"hear"	"its"	"sound"	"but"	"dost"	"not"	"know"	"where"	"it"	"come"	"from"	"or"	"where"	"it"	"go"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"who"	"my"	"he"	"word"	"he_who"	"who_my"	"my_word"	",_he_who"	"he_who_my"	"who_my_word"	"my_word_,"	"ε"	"PRP"	"WP"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"amen"	"amen"	"i"	"say"	"to"	"he"	"who"	"hear"	"my"	"word"	"and"	"believe"	"him"	"who"	"send"	"me"	"have"	"life"	"everlasting"	"and"	"does"	"not"	"come"	"to"	"judgment"	"but"	"has"	"pass"	"from"	"death"	"to"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"format"	"last"	"same"	"spring"	"same_format"	"format_last"	"last_spring"	"the_same_format"	"same_format_last"	"format_last_spring"	"last_spring_."	"DT"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"al"	"has"	"add"	"some"	"sidemen"	"to"	"the"	"act"	"which"	"a"	"smoother"	"operation"	"but"	"it"	"substantially"	"the"	"same"	"format"	"hear"	"last"	"spring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
